"Step","bright-planet-137 - test/psnr_scat","bright-planet-137 - test/psnr_scat__MIN","bright-planet-137 - test/psnr_scat__MAX"
"206","30.576704025268555","30.576704025268555","30.576704025268555"
"207","37.243682861328125","37.243682861328125","37.243682861328125"
"208","43.468631744384766","43.468631744384766","43.468631744384766"
"209","44.31657791137695","44.31657791137695","44.31657791137695"
"210","35.6495246887207","35.6495246887207","35.6495246887207"
"211","36.7537727355957","36.7537727355957","36.7537727355957"
"212","46.08437728881836","46.08437728881836","46.08437728881836"
"213","46.9283332824707","46.9283332824707","46.9283332824707"
"214","37.44529724121094","37.44529724121094","37.44529724121094"
"215","40.632694244384766","40.632694244384766","40.632694244384766"
"216","34.528236389160156","34.528236389160156","34.528236389160156"
"217","39.001468658447266","39.001468658447266","39.001468658447266"
"218","39.40119552612305","39.40119552612305","39.40119552612305"
"219","31.81669044494629","31.81669044494629","31.81669044494629"
"220","40.14335632324219","40.14335632324219","40.14335632324219"
"221","44.610267639160156","44.610267639160156","44.610267639160156"
"222","38.450008392333984","38.450008392333984","38.450008392333984"
"223","44.012603759765625","44.012603759765625","44.012603759765625"
"224","39.9235725402832","39.9235725402832","39.9235725402832"
"225","44.08085632324219","44.08085632324219","44.08085632324219"
"226","30.87739372253418","30.87739372253418","30.87739372253418"
"227","33.960838317871094","33.960838317871094","33.960838317871094"
"228","33.250370025634766","33.250370025634766","33.250370025634766"
"229","33.8099479675293","33.8099479675293","33.8099479675293"
"230","44.046226501464844","44.046226501464844","44.046226501464844"
"231","42.288665771484375","42.288665771484375","42.288665771484375"
"232","41.88895034790039","41.88895034790039","41.88895034790039"
"233","41.78458786010742","41.78458786010742","41.78458786010742"
"234","45.1247444152832","45.1247444152832","45.1247444152832"
"235","41.9301872253418","41.9301872253418","41.9301872253418"
"236","36.51198196411133","36.51198196411133","36.51198196411133"
"237","39.9426383972168","39.9426383972168","39.9426383972168"
"238","43.1870002746582","43.1870002746582","43.1870002746582"
"239","40.71602249145508","40.71602249145508","40.71602249145508"
"240","37.709903717041016","37.709903717041016","37.709903717041016"
"241","43.45823287963867","43.45823287963867","43.45823287963867"
"242","42.35006332397461","42.35006332397461","42.35006332397461"
"243","47.80120849609375","47.80120849609375","47.80120849609375"
"244","41.36044692993164","41.36044692993164","41.36044692993164"
"245","31.17959976196289","31.17959976196289","31.17959976196289"
"246","47.090335845947266","47.090335845947266","47.090335845947266"
"247","29.33751678466797","29.33751678466797","29.33751678466797"
"248","36.92884063720703","36.92884063720703","36.92884063720703"
"249","35.88682174682617","35.88682174682617","35.88682174682617"
"250","39.32656478881836","39.32656478881836","39.32656478881836"
"251","38.01598358154297","38.01598358154297","38.01598358154297"
"252","42.55490493774414","42.55490493774414","42.55490493774414"
"253","42.13784408569336","42.13784408569336","42.13784408569336"
"254","45.28260040283203","45.28260040283203","45.28260040283203"
"255","38.4639892578125","38.4639892578125","38.4639892578125"
"256","46.70130920410156","46.70130920410156","46.70130920410156"
"257","36.376869201660156","36.376869201660156","36.376869201660156"
"258","41.6319465637207","41.6319465637207","41.6319465637207"
"259","30.289905548095703","30.289905548095703","30.289905548095703"
"260","45.18128967285156","45.18128967285156","45.18128967285156"
"261","33.06280517578125","33.06280517578125","33.06280517578125"
"262","42.7523193359375","42.7523193359375","42.7523193359375"
"263","46.182430267333984","46.182430267333984","46.182430267333984"
"264","38.452903747558594","38.452903747558594","38.452903747558594"
"265","44.400634765625","44.400634765625","44.400634765625"
"266","34.03695297241211","34.03695297241211","34.03695297241211"
"267","36.09077072143555","36.09077072143555","36.09077072143555"
"268","43.811763763427734","43.811763763427734","43.811763763427734"
"269","47.29841613769531","47.29841613769531","47.29841613769531"
"270","43.690162658691406","43.690162658691406","43.690162658691406"
"271","39.30353546142578","39.30353546142578","39.30353546142578"
"272","36.36860275268555","36.36860275268555","36.36860275268555"
"273","45.43973159790039","45.43973159790039","45.43973159790039"
"274","46.29209518432617","46.29209518432617","46.29209518432617"
"275","34.1818962097168","34.1818962097168","34.1818962097168"
"276","35.059749603271484","35.059749603271484","35.059749603271484"
"277","36.85424041748047","36.85424041748047","36.85424041748047"
"278","45.66905212402344","45.66905212402344","45.66905212402344"
"279","44.69994354248047","44.69994354248047","44.69994354248047"
"280","37.52975845336914","37.52975845336914","37.52975845336914"
"281","35.50289535522461","35.50289535522461","35.50289535522461"
"282","36.0101318359375","36.0101318359375","36.0101318359375"
"283","36.806121826171875","36.806121826171875","36.806121826171875"
"284","39.731239318847656","39.731239318847656","39.731239318847656"
"285","36.115806579589844","36.115806579589844","36.115806579589844"
"286","44.004886627197266","44.004886627197266","44.004886627197266"
