"Step","feasible-paper-136 - test/psnr_scat","feasible-paper-136 - test/psnr_scat__MIN","feasible-paper-136 - test/psnr_scat__MAX"
"83","45.874717712402344","45.874717712402344","45.874717712402344"
"84","33.80343246459961","33.80343246459961","33.80343246459961"
"85","34.69596862792969","34.69596862792969","34.69596862792969"
"86","34.607444763183594","34.607444763183594","34.607444763183594"
"87","40.42570114135742","40.42570114135742","40.42570114135742"
"88","31.463069915771484","31.463069915771484","31.463069915771484"
"89","43.708282470703125","43.708282470703125","43.708282470703125"
"90","29.737627029418945","29.737627029418945","29.737627029418945"
"91","43.725929260253906","43.725929260253906","43.725929260253906"
"92","38.944332122802734","38.944332122802734","38.944332122802734"
"93","43.91071701049805","43.91071701049805","43.91071701049805"
"94","43.22930145263672","43.22930145263672","43.22930145263672"
"95","37.436126708984375","37.436126708984375","37.436126708984375"
"96","40.763553619384766","40.763553619384766","40.763553619384766"
"97","42.422115325927734","42.422115325927734","42.422115325927734"
"98","37.54795455932617","37.54795455932617","37.54795455932617"
"99","35.62800216674805","35.62800216674805","35.62800216674805"
"100","35.97203826904297","35.97203826904297","35.97203826904297"
"101","37.90345001220703","37.90345001220703","37.90345001220703"
"102","40.682003021240234","40.682003021240234","40.682003021240234"
"103","40.22797393798828","40.22797393798828","40.22797393798828"
"104","35.317283630371094","35.317283630371094","35.317283630371094"
"105","33.8802604675293","33.8802604675293","33.8802604675293"
"106","32.261199951171875","32.261199951171875","32.261199951171875"
"107","37.39503479003906","37.39503479003906","37.39503479003906"
"108","34.656959533691406","34.656959533691406","34.656959533691406"
"109","47.10704803466797","47.10704803466797","47.10704803466797"
"110","44.38701248168945","44.38701248168945","44.38701248168945"
"111","46.15487289428711","46.15487289428711","46.15487289428711"
"112","37.50441360473633","37.50441360473633","37.50441360473633"
