"Step","woven-puddle-82 - val/ssim_atten","woven-puddle-82 - val/ssim_atten__MIN","woven-puddle-82 - val/ssim_atten__MAX"
"6376","0.9232461452484131","0.9232461452484131","0.9232461452484131"
"6378","0.9222540855407715","0.9222540855407715","0.9222540855407715"
"6380","0.9115369915962219","0.9115369915962219","0.9115369915962219"
"6857","0.931430459022522","0.931430459022522","0.931430459022522"
"6859","0.9206334948539734","0.9206334948539734","0.9206334948539734"
"6861","0.9298114776611328","0.9298114776611328","0.9298114776611328"
"6863","0.9199007153511047","0.9199007153511047","0.9199007153511047"
"7340","0.9308764934539795","0.9308764934539795","0.9308764934539795"
"7342","0.9286906719207764","0.9286906719207764","0.9286906719207764"
"7344","0.934873104095459","0.934873104095459","0.934873104095459"
"7346","0.919562816619873","0.919562816619873","0.919562816619873"
"7823","0.9217960834503174","0.9217960834503174","0.9217960834503174"
"7825","0.9117123484611511","0.9117123484611511","0.9117123484611511"
"7827","0.9223467707633972","0.9223467707633972","0.9223467707633972"
"7829","0.91496741771698","0.91496741771698","0.91496741771698"
"8306","0.9209722280502319","0.9209722280502319","0.9209722280502319"
"8308","0.9177255630493164","0.9177255630493164","0.9177255630493164"
"8310","0.9320945143699646","0.9320945143699646","0.9320945143699646"
"8312","0.9142893552780151","0.9142893552780151","0.9142893552780151"
"8789","0.9323751926422119","0.9323751926422119","0.9323751926422119"
"8791","0.937023401260376","0.937023401260376","0.937023401260376"
"8793","0.9409561157226562","0.9409561157226562","0.9409561157226562"
"8795","0.9352323412895203","0.9352323412895203","0.9352323412895203"
"9272","0.9285444617271423","0.9285444617271423","0.9285444617271423"
"9274","0.9334267377853394","0.9334267377853394","0.9334267377853394"
"9276","0.9345430135726929","0.9345430135726929","0.9345430135726929"
"9278","0.924810528755188","0.924810528755188","0.924810528755188"
"9755","0.9300833940505981","0.9300833940505981","0.9300833940505981"
"9757","0.917170524597168","0.917170524597168","0.917170524597168"
"9759","0.9340814352035522","0.9340814352035522","0.9340814352035522"
"9761","0.9173576831817627","0.9173576831817627","0.9173576831817627"
"10238","0.9467377066612244","0.9467377066612244","0.9467377066612244"
"10240","0.9393086433410645","0.9393086433410645","0.9393086433410645"
"10242","0.9467304944992065","0.9467304944992065","0.9467304944992065"
"10244","0.9384399652481079","0.9384399652481079","0.9384399652481079"
"10721","0.9408923387527466","0.9408923387527466","0.9408923387527466"
"10723","0.9371029734611511","0.9371029734611511","0.9371029734611511"
"10725","0.9343233108520508","0.9343233108520508","0.9343233108520508"
"10727","0.9341920614242554","0.9341920614242554","0.9341920614242554"
"11204","0.911307692527771","0.911307692527771","0.911307692527771"
"11206","0.9154276251792908","0.9154276251792908","0.9154276251792908"
"11208","0.9267607927322388","0.9267607927322388","0.9267607927322388"
"11210","0.9162544012069702","0.9162544012069702","0.9162544012069702"
"11687","0.9382962584495544","0.9382962584495544","0.9382962584495544"
"11689","0.9337576627731323","0.9337576627731323","0.9337576627731323"
"11691","0.9446914196014404","0.9446914196014404","0.9446914196014404"
"11693","0.9377208352088928","0.9377208352088928","0.9377208352088928"
"12170","0.9271324872970581","0.9271324872970581","0.9271324872970581"
"12172","0.9220478534698486","0.9220478534698486","0.9220478534698486"
"12174","0.9339208006858826","0.9339208006858826","0.9339208006858826"
"12176","0.9237406253814697","0.9237406253814697","0.9237406253814697"
