"Step","vocal-sun-198 - test/psnr_scat","vocal-sun-198 - test/psnr_scat__MIN","vocal-sun-198 - test/psnr_scat__MAX"
"98","36.855831146240234","36.855831146240234","36.855831146240234"
"99","40.027591705322266","40.027591705322266","40.027591705322266"
"100","39.862300872802734","39.862300872802734","39.862300872802734"
"101","39.22101593017578","39.22101593017578","39.22101593017578"
"102","40.60759735107422","40.60759735107422","40.60759735107422"
"103","39.64218521118164","39.64218521118164","39.64218521118164"
"104","34.63024139404297","34.63024139404297","34.63024139404297"
"105","36.00898361206055","36.00898361206055","36.00898361206055"
"106","36.74016189575195","36.74016189575195","36.74016189575195"
"107","28.163034439086914","28.163034439086914","28.163034439086914"
"108","31.138511657714844","31.138511657714844","31.138511657714844"
"109","34.82958984375","34.82958984375","34.82958984375"
"110","46.92200469970703","46.92200469970703","46.92200469970703"
"111","30.182451248168945","30.182451248168945","30.182451248168945"
"112","38.667572021484375","38.667572021484375","38.667572021484375"
"113","26.84872055053711","26.84872055053711","26.84872055053711"
