"Step","leafy-darkness-87 - val/rmse_scat","leafy-darkness-87 - val/rmse_scat__MIN","leafy-darkness-87 - val/rmse_scat__MAX"
"5408","0.016465067863464355","0.016465067863464355","0.016465067863464355"
"5410","0.019022490829229355","0.019022490829229355","0.019022490829229355"
"5412","0.021417150273919106","0.021417150273919106","0.021417150273919106"
"5414","0.016204560175538063","0.016204560175538063","0.016204560175538063"
"5891","0.014730336144566536","0.014730336144566536","0.014730336144566536"
"5893","0.01585208810865879","0.01585208810865879","0.01585208810865879"
"5895","0.01825735718011856","0.01825735718011856","0.01825735718011856"
"5897","0.014988845214247704","0.014988845214247704","0.014988845214247704"
"6374","0.014232794754207134","0.014232794754207134","0.014232794754207134"
"6376","0.015541781671345234","0.015541781671345234","0.015541781671345234"
"6378","0.018125882372260094","0.018125882372260094","0.018125882372260094"
"6380","0.0173860564827919","0.0173860564827919","0.0173860564827919"
"6857","0.013892675749957561","0.013892675749957561","0.013892675749957561"
"6859","0.014513491652905941","0.014513491652905941","0.014513491652905941"
"6861","0.018533451482653618","0.018533451482653618","0.018533451482653618"
"6863","0.014573361724615097","0.014573361724615097","0.014573361724615097"
"7340","0.014812012203037739","0.014812012203037739","0.014812012203037739"
"7342","0.016049420461058617","0.016049420461058617","0.016049420461058617"
"7344","0.018132338300347328","0.018132338300347328","0.018132338300347328"
"7346","0.015201844274997711","0.015201844274997711","0.015201844274997711"
"7823","0.01336229033768177","0.01336229033768177","0.01336229033768177"
"7825","0.014523503370583057","0.014523503370583057","0.014523503370583057"
"7827","0.01787816546857357","0.01787816546857357","0.01787816546857357"
"7829","0.014011665247380733","0.014011665247380733","0.014011665247380733"
"8306","0.013683484867215157","0.013683484867215157","0.013683484867215157"
"8308","0.014783674851059914","0.014783674851059914","0.014783674851059914"
"8310","0.01730077713727951","0.01730077713727951","0.01730077713727951"
"8312","0.01443491317331791","0.01443491317331791","0.01443491317331791"
"8789","0.013327397406101227","0.013327397406101227","0.013327397406101227"
"8791","0.01584343984723091","0.01584343984723091","0.01584343984723091"
"8793","0.019694657996296883","0.019694657996296883","0.019694657996296883"
"8795","0.014941315166652203","0.014941315166652203","0.014941315166652203"
"9272","0.013961817137897015","0.013961817137897015","0.013961817137897015"
"9274","0.013765303418040276","0.013765303418040276","0.013765303418040276"
"9276","0.017487401142716408","0.017487401142716408","0.017487401142716408"
"9278","0.014354035258293152","0.014354035258293152","0.014354035258293152"
"9755","0.013520442880690098","0.013520442880690098","0.013520442880690098"
"9757","0.014635451138019562","0.014635451138019562","0.014635451138019562"
"9759","0.016366073861718178","0.016366073861718178","0.016366073861718178"
"9761","0.013631689362227917","0.013631689362227917","0.013631689362227917"
"10238","0.013724412769079208","0.013724412769079208","0.013724412769079208"
"10240","0.013852385804057121","0.013852385804057121","0.013852385804057121"
"10242","0.016871482133865356","0.016871482133865356","0.016871482133865356"
"10244","0.013964728452265263","0.013964728452265263","0.013964728452265263"
"10721","0.012981883250176907","0.012981883250176907","0.012981883250176907"
"10723","0.013713792897760868","0.013713792897760868","0.013713792897760868"
"10725","0.016072610393166542","0.016072610393166542","0.016072610393166542"
"10727","0.013270941562950611","0.013270941562950611","0.013270941562950611"
"11204","0.013130591250956059","0.013130591250956059","0.013130591250956059"
"11206","0.01327626220881939","0.01327626220881939","0.01327626220881939"
"11208","0.016088560223579407","0.016088560223579407","0.016088560223579407"
"11210","0.012592041864991188","0.012592041864991188","0.012592041864991188"
"11687","0.013515323400497437","0.013515323400497437","0.013515323400497437"
"11689","0.014660620130598545","0.014660620130598545","0.014660620130598545"
"11691","0.017469901591539383","0.017469901591539383","0.017469901591539383"
"11693","0.013448496349155903","0.013448496349155903","0.013448496349155903"
"12170","0.012719991616904736","0.012719991616904736","0.012719991616904736"
"12172","0.01327044889330864","0.01327044889330864","0.01327044889330864"
"12174","0.01738796941936016","0.01738796941936016","0.01738796941936016"
"12176","0.01284163910895586","0.01284163910895586","0.01284163910895586"
