"Step","woven-puddle-82 - val/psnr_scat","woven-puddle-82 - val/psnr_scat__MIN","woven-puddle-82 - val/psnr_scat__MAX"
"8793","39.53669738769531","39.53669738769531","39.53669738769531"
"8795","41.027462005615234","41.027462005615234","41.027462005615234"
"9272","41.72946548461914","41.72946548461914","41.72946548461914"
"9274","41.33464431762695","41.33464431762695","41.33464431762695"
"9276","39.68617248535156","39.68617248535156","39.68617248535156"
"9278","41.36320495605469","41.36320495605469","41.36320495605469"
"9755","42.054412841796875","42.054412841796875","42.054412841796875"
"9757","40.57860565185547","40.57860565185547","40.57860565185547"
"9759","39.6480598449707","39.6480598449707","39.6480598449707"
"9761","40.313419342041016","40.313419342041016","40.313419342041016"
"10238","42.28140640258789","42.28140640258789","42.28140640258789"
"10240","41.3866081237793","41.3866081237793","41.3866081237793"
"10242","39.51780700683594","39.51780700683594","39.51780700683594"
"10244","41.508766174316406","41.508766174316406","41.508766174316406"
"10721","42.423099517822266","42.423099517822266","42.423099517822266"
"10723","41.67359161376953","41.67359161376953","41.67359161376953"
"10725","39.98154830932617","39.98154830932617","39.98154830932617"
"10727","42.173583984375","42.173583984375","42.173583984375"
"11204","42.055702209472656","42.055702209472656","42.055702209472656"
"11206","41.129459381103516","41.129459381103516","41.129459381103516"
"11208","39.755367279052734","39.755367279052734","39.755367279052734"
"11210","41.06633758544922","41.06633758544922","41.06633758544922"
"11687","42.678993225097656","42.678993225097656","42.678993225097656"
"11689","41.936439514160156","41.936439514160156","41.936439514160156"
"11691","40.34358215332031","40.34358215332031","40.34358215332031"
"11693","41.56403732299805","41.56403732299805","41.56403732299805"
"12170","41.79571533203125","41.79571533203125","41.79571533203125"
"12172","41.66716003417969","41.66716003417969","41.66716003417969"
"12174","40.00559997558594","40.00559997558594","40.00559997558594"
"12176","41.506202697753906","41.506202697753906","41.506202697753906"
