"Step","serene-sun-203 - test/psnr_scat","serene-sun-203 - test/psnr_scat__MIN","serene-sun-203 - test/psnr_scat__MAX"
"60","32.79825210571289","32.79825210571289","32.79825210571289"
"61","36.505821228027344","36.505821228027344","36.505821228027344"
"62","29.673978805541992","29.673978805541992","29.673978805541992"
"63","31.701976776123047","31.701976776123047","31.701976776123047"
"64","47.7263298034668","47.7263298034668","47.7263298034668"
"65","44.456275939941406","44.456275939941406","44.456275939941406"
"66","35.303470611572266","35.303470611572266","35.303470611572266"
"67","39.73891067504883","39.73891067504883","39.73891067504883"
"68","37.43582534790039","37.43582534790039","37.43582534790039"
"69","39.36907196044922","39.36907196044922","39.36907196044922"
"70","39.181739807128906","39.181739807128906","39.181739807128906"
"71","38.55220031738281","38.55220031738281","38.55220031738281"
"72","38.17422103881836","38.17422103881836","38.17422103881836"
"73","34.98832702636719","34.98832702636719","34.98832702636719"
"74","47.43162536621094","47.43162536621094","47.43162536621094"
"75","37.37907028198242","37.37907028198242","37.37907028198242"
"76","37.02695083618164","37.02695083618164","37.02695083618164"
"77","42.149349212646484","42.149349212646484","42.149349212646484"
"78","43.45090866088867","43.45090866088867","43.45090866088867"
"79","37.86290740966797","37.86290740966797","37.86290740966797"
"80","26.995819091796875","26.995819091796875","26.995819091796875"
"81","39.91048049926758","39.91048049926758","39.91048049926758"
"82","38.222537994384766","38.222537994384766","38.222537994384766"
"84","37.314048767089844","37.314048767089844","37.314048767089844"
"85","37.36943817138672","37.36943817138672","37.36943817138672"
"86","28.859453201293945","28.859453201293945","28.859453201293945"
"87","37.05906295776367","37.05906295776367","37.05906295776367"
"88","33.40447235107422","33.40447235107422","33.40447235107422"
"89","39.090667724609375","39.090667724609375","39.090667724609375"
"90","38.340576171875","38.340576171875","38.340576171875"
"91","36.38220977783203","36.38220977783203","36.38220977783203"
"92","37.23979949951172","37.23979949951172","37.23979949951172"
"93","36.57500457763672","36.57500457763672","36.57500457763672"
"94","32.75517654418945","32.75517654418945","32.75517654418945"
"95","43.09893798828125","43.09893798828125","43.09893798828125"
"96","35.85866165161133","35.85866165161133","35.85866165161133"
"97","40.24871826171875","40.24871826171875","40.24871826171875"
"98","39.863433837890625","39.863433837890625","39.863433837890625"
"99","36.466800689697266","36.466800689697266","36.466800689697266"
"101","37.49177551269531","37.49177551269531","37.49177551269531"
"102","40.185787200927734","40.185787200927734","40.185787200927734"
"103","38.568912506103516","38.568912506103516","38.568912506103516"
"104","40.44071960449219","40.44071960449219","40.44071960449219"
"105","42.33714294433594","42.33714294433594","42.33714294433594"
"106","35.87409591674805","35.87409591674805","35.87409591674805"
"107","35.7331428527832","35.7331428527832","35.7331428527832"
"108","38.80733108520508","38.80733108520508","38.80733108520508"
"109","25.827167510986328","25.827167510986328","25.827167510986328"
"110","30.535175323486328","30.535175323486328","30.535175323486328"
"111","38.35231018066406","38.35231018066406","38.35231018066406"
"112","47.445430755615234","47.445430755615234","47.445430755615234"
"113","31.40324592590332","31.40324592590332","31.40324592590332"
"114","39.29265594482422","39.29265594482422","39.29265594482422"
"115","25.9962158203125","25.9962158203125","25.9962158203125"
"116","34.97294235229492","34.97294235229492","34.97294235229492"
