"Step","leafy-darkness-87 - val/psnr_scat","leafy-darkness-87 - val/psnr_scat__MIN","leafy-darkness-87 - val/psnr_scat__MAX"
"6863","36.72880172729492","36.72880172729492","36.72880172729492"
"7340","36.58771896362305","36.58771896362305","36.58771896362305"
"7342","35.890811920166016","35.890811920166016","35.890811920166016"
"7344","34.83092498779297","34.83092498779297","34.83092498779297"
"7346","36.3620719909668","36.3620719909668","36.3620719909668"
"7823","37.48237991333008","37.48237991333008","37.48237991333008"
"7825","36.75857162475586","36.75857162475586","36.75857162475586"
"7827","34.95354080200195","34.95354080200195","34.95354080200195"
"7829","37.07020568847656","37.07020568847656","37.07020568847656"
"8306","37.276065826416016","37.276065826416016","37.276065826416016"
"8308","36.60435104370117","36.60435104370117","36.60435104370117"
"8310","35.238685607910156","35.238685607910156","35.238685607910156"
"8312","36.81171417236328","36.81171417236328","36.81171417236328"
"8789","37.50509262084961","37.50509262084961","37.50509262084961"
"8791","36.00300598144531","36.00300598144531","36.00300598144531"
"8793","34.11302947998047","34.11302947998047","34.11302947998047"
"8795","36.51222229003906","36.51222229003906","36.51222229003906"
"9272","37.101158142089844","37.101158142089844","37.101158142089844"
"9274","37.224281311035156","37.224281311035156","37.224281311035156"
"9276","35.14549255371094","35.14549255371094","35.14549255371094"
"9278","36.86051940917969","36.86051940917969","36.86051940917969"
"9755","37.38018035888672","37.38018035888672","37.38018035888672"
"9757","36.69187545776367","36.69187545776367","36.69187545776367"
"9759","35.721107482910156","35.721107482910156","35.721107482910156"
"9761","37.30900573730469","37.30900573730469","37.30900573730469"
"10238","37.2501220703125","37.2501220703125","37.2501220703125"
"10240","37.16950607299805","37.16950607299805","37.16950607299805"
"10242","35.456932067871094","35.456932067871094","35.456932067871094"
"10244","37.09934997558594","37.09934997558594","37.09934997558594"
"10721","37.733245849609375","37.733245849609375","37.733245849609375"
"10723","37.2568473815918","37.2568473815918","37.2568473815918"
"10725","35.87826919555664","35.87826919555664","35.87826919555664"
"10727","37.541961669921875","37.541961669921875","37.541961669921875"
"11204","37.63431167602539","37.63431167602539","37.63431167602539"
"11206","37.538482666015625","37.538482666015625","37.538482666015625"
"11208","35.86965560913086","35.86965560913086","35.86965560913086"
"11210","37.99807357788086","37.99807357788086","37.99807357788086"
"11687","37.38346862792969","37.38346862792969","37.38346862792969"
"11689","36.67695236206055","36.67695236206055","36.67695236206055"
"11691","35.15419006347656","35.15419006347656","35.15419006347656"
"11693","37.4265251159668","37.4265251159668","37.4265251159668"
"12170","37.91026306152344","37.91026306152344","37.91026306152344"
"12172","37.54228591918945","37.54228591918945","37.54228591918945"
"12174","35.19501876831055","35.19501876831055","35.19501876831055"
"12176","37.82759094238281","37.82759094238281","37.82759094238281"
